nom,date,cumulative_confirmed_cases
Nia-Nia,6/29/2026,11
Fataki,6/29/2026,1
Mandima,6/29/2026,1
Butembo,6/29/2026,34
Katwa,6/29/2026,45
Beni,6/29/2026,22
Oicha,6/29/2026,3
Kalunguta,6/29/2026,2
Kyondo,6/29/2026,3
Goma,6/29/2026,1
Masereka,6/29/2026,1
Vuhovi,6/29/2026,1
Mabalako,6/29/2026,1
Musienene,6/29/2026,3
Miti-Murhesa,6/29/2026,3
Unknown,6/29/2026,17
Bunia,6/30/2026,387
Rwampara,6/30/2026,301
Mongbwalu,6/30/2026,264
Nyankunde,6/30/2026,95
Nizi,6/30/2026,61
Lita,6/30/2026,29
Komanda,6/30/2026,18
Bambu,6/30/2026,16
Kilo,6/30/2026,9
Mangala,6/30/2026,24
Tchomia,6/30/2026,14
Damas,6/30/2026,5
Aungba,6/30/2026,6
Rimba,6/30/2026,3
Aru,6/30/2026,3
Mambasa,6/30/2026,2
Logo,6/30/2026,7
Drodro,6/30/2026,3
Gety,6/30/2026,1
Kambala,6/30/2026,2
Nia-Nia,6/30/2026,12
Fataki,6/30/2026,1
Mandima,6/30/2026,2
Lolwa,6/30/2026,1
Butembo,6/30/2026,34
Katwa,6/30/2026,47
Beni,6/30/2026,24
Oicha,6/30/2026,3
Kalunguta,6/30/2026,2
Kyondo,6/30/2026,3
Goma,6/30/2026,1
Masereka,6/30/2026,1
Vuhovi,6/30/2026,1
Mabalako,6/30/2026,1
Musienene,6/30/2026,3
Miti-Murhesa,6/30/2026,3
Unknown,6/30/2026,17
Bunia,7/1/2026,416
Rwampara,7/1/2026,308
Mongbwalu,7/1/2026,270
Nyankunde,7/1/2026,95
Nizi,7/1/2026,65
Lita,7/1/2026,32
Komanda,7/1/2026,19
Bambu,7/1/2026,16
Kilo,7/1/2026,9
Mangala,7/1/2026,24
Tchomia,7/1/2026,14
Damas,7/1/2026,5
Aungba,7/1/2026,6
Rimba,7/1/2026,3
Aru,7/1/2026,3
Mambasa,7/1/2026,2
Logo,7/1/2026,7
Drodro,7/1/2026,3
Gety,7/1/2026,1
Kambala,7/1/2026,2
Nia-Nia,7/1/2026,12
Fataki,7/1/2026,1
Mandima,7/1/2026,2
Lolwa,7/1/2026,1
Butembo,7/1/2026,34
Katwa,7/1/2026,49
Beni,7/1/2026,26
Oicha,7/1/2026,3
Kalunguta,7/1/2026,2
Kyondo,7/1/2026,3
Goma,7/1/2026,1
Masereka,7/1/2026,1
Vuhovi,7/1/2026,1
Mabalako,7/1/2026,1
Musienene,7/1/2026,3
Miti-Murhesa,7/1/2026,3
Unknown,7/1/2026,17
Bunia,7/2/2026,426
Rwampara,7/2/2026,322
Mongbwalu,7/2/2026,273
Nyankunde,7/2/2026,95
Nizi,7/2/2026,65
Lita,7/2/2026,33
Komanda,7/2/2026,19
Bambu,7/2/2026,18
Kilo,7/2/2026,9
Mangala,7/2/2026,24
Tchomia,7/2/2026,15
Damas,7/2/2026,5
Aungba,7/2/2026,6
Rimba,7/2/2026,3
Aru,7/2/2026,3
Mambasa,7/2/2026,2
Logo,7/2/2026,7
Drodro,7/2/2026,3
Gety,7/2/2026,1
Kambala,7/2/2026,2
Nia-Nia,7/2/2026,12
Fataki,7/2/2026,1
Mandima,7/2/2026,4
Lolwa,7/2/2026,1
Butembo,7/2/2026,38
Katwa,7/2/2026,51
Beni,7/2/2026,28
Oicha,7/2/2026,3
Kalunguta,7/2/2026,2
Kyondo,7/2/2026,3
Goma,7/2/2026,2
Masereka,7/2/2026,1
Vuhovi,7/2/2026,1
Mabalako,7/2/2026,1
Musienene,7/2/2026,3
Miti-Murhesa,7/2/2026,3
Unknown,7/2/2026,17
Bunia,7/3/2026,431
Rwampara,7/3/2026,333
Mongbwalu,7/3/2026,276
Nyankunde,7/3/2026,95
Nizi,7/3/2026,65
Lita,7/3/2026,33
Komanda,7/3/2026,19
Bambu,7/3/2026,18
Kilo,7/3/2026,9
Mangala,7/3/2026,26
Tchomia,7/3/2026,15
Damas,7/3/2026,5
Aungba,7/3/2026,6
Rimba,7/3/2026,3
Aru,7/3/2026,3
Mambasa,7/3/2026,2
Logo,7/3/2026,7
Drodro,7/3/2026,3
Gety,7/3/2026,1
Kambala,7/3/2026,2
Nia-Nia,7/3/2026,12
Fataki,7/3/2026,1
Mandima,7/3/2026,4
Lolwa,7/3/2026,1
Butembo,7/3/2026,40
Katwa,7/3/2026,51
Beni,7/3/2026,29
Oicha,7/3/2026,3
Kalunguta,7/3/2026,2
Kyondo,7/3/2026,4
Goma,7/3/2026,1
Masereka,7/3/2026,2
Vuhovi,7/3/2026,1
Mabalako,7/3/2026,1
Musienene,7/3/2026,4
Miti-Murhesa,7/3/2026,3
Unknown,7/3/2026,17
Bunia,7/4/2026,438
Rwampara,7/4/2026,344
Mongbwalu,7/4/2026,278
Nyankunde,7/4/2026,95
Nizi,7/4/2026,72
Lita,7/4/2026,33
Komanda,7/4/2026,22
Bambu,7/4/2026,18
Kilo,7/4/2026,9
Mangala,7/4/2026,26
Tchomia,7/4/2026,15
Damas,7/4/2026,5
Aungba,7/4/2026,6
Rimba,7/4/2026,3
Aru,7/4/2026,3
Mambasa,7/4/2026,2
Logo,7/4/2026,7
Drodro,7/4/2026,3
Gety,7/4/2026,1
Kambala,7/4/2026,2
Nia-Nia,7/4/2026,12
Fataki,7/4/2026,1
Mandima,7/4/2026,4
Lolwa,7/4/2026,1
Butembo,7/4/2026,40
Katwa,7/4/2026,52
Beni,7/4/2026,29
Oicha,7/4/2026,3
Kalunguta,7/4/2026,2
Kyondo,7/4/2026,4
Goma,7/4/2026,1
Masereka,7/4/2026,2
Vuhovi,7/4/2026,1
Mabalako,7/4/2026,1
Musienene,7/4/2026,6
Miti-Murhesa,7/4/2026,3
Unknown,7/4/2026,17
Bunia,7/5/2026,452
Rwampara,7/5/2026,349
Mongbwalu,7/5/2026,288
Nyankunde,7/5/2026,96
Nizi,7/5/2026,78
Lita,7/5/2026,33
Komanda,7/5/2026,22
Bambu,7/5/2026,25
Kilo,7/5/2026,9
Mangala,7/5/2026,33
Tchomia,7/5/2026,15
Damas,7/5/2026,5
Aungba,7/5/2026,6
Rimba,7/5/2026,4
Aru,7/5/2026,3
Mambasa,7/5/2026,2
Logo,7/5/2026,7
Drodro,7/5/2026,3
Gety,7/5/2026,1
Kambala,7/5/2026,2
Nia-Nia,7/5/2026,20
Fataki,7/5/2026,2
Mandima,7/5/2026,4
Lolwa,7/5/2026,1
Butembo,7/5/2026,40
Katwa,7/5/2026,52
Beni,7/5/2026,29
Oicha,7/5/2026,3
Kalunguta,7/5/2026,2
Kyondo,7/5/2026,4
Goma,7/5/2026,1
Masereka,7/5/2026,3
Vuhovi,7/5/2026,1
Mabalako,7/5/2026,1
Musienene,7/5/2026,8
Miti-Murhesa,7/5/2026,3
Unknown,7/5/2026,17
Bunia,7/6/2026,472
Rwampara,7/6/2026,357
Mongbwalu,7/6/2026,298
Nyankunde,7/6/2026,96
Nizi,7/6/2026,84
Lita,7/6/2026,40
Komanda,7/6/2026,23
Bambu,7/6/2026,28
Kilo,7/6/2026,9
Mangala,7/6/2026,39
Tchomia,7/6/2026,15
Damas,7/6/2026,5
Aungba,7/6/2026,6
Rimba,7/6/2026,4
Aru,7/6/2026,3
Mambasa,7/6/2026,4
Logo,7/6/2026,7
Drodro,7/6/2026,3
Gety,7/6/2026,1
Kambala,7/6/2026,2
Nia-Nia,7/6/2026,33
Fataki,7/6/2026,3
Mandima,7/6/2026,5
Lolwa,7/6/2026,1
Boga,7/6/2026,1
Butembo,7/6/2026,41
Katwa,7/6/2026,56
Beni,7/6/2026,29
Oicha,7/6/2026,3
Kalunguta,7/6/2026,2
Kyondo,7/6/2026,4
Goma,7/6/2026,1
Masereka,7/6/2026,3
Vuhovi,7/6/2026,1
Mabalako,7/6/2026,1
Musienene,7/6/2026,8
Miti-Murhesa,7/6/2026,3
Unknown,7/6/2026,17
Bunia,7/7/2026,483
Rwampara,7/7/2026,364
Mongbwalu,7/7/2026,310
Nyankunde,7/7/2026,97
Nizi,7/7/2026,94
Lita,7/7/2026,40
Komanda,7/7/2026,23
Bambu,7/7/2026,28
Kilo,7/7/2026,9
Mangala,7/7/2026,40
Tchomia,7/7/2026,15
Damas,7/7/2026,5
Aungba,7/7/2026,6
Rimba,7/7/2026,4
Aru,7/7/2026,3
Mambasa,7/7/2026,4
Logo,7/7/2026,7
Drodro,7/7/2026,3
Gety,7/7/2026,1
Kambala,7/7/2026,2
Nia-Nia,7/7/2026,35
Fataki,7/7/2026,4
Mandima,7/7/2026,5
Lolwa,7/7/2026,1
Boga,7/7/2026,1
Butembo,7/7/2026,42
Katwa,7/7/2026,61
Beni,7/7/2026,29
Oicha,7/7/2026,3
Kalunguta,7/7/2026,2
Kyondo,7/7/2026,4
Goma,7/7/2026,1
Masereka,7/7/2026,3
Vuhovi,7/7/2026,1
Mabalako,7/7/2026,1
Musienene,7/7/2026,8
Miti-Murhesa,7/7/2026,3
Unknown,7/7/2026,17
Bunia,7/8/2026,487
Rwampara,7/8/2026,370
Mongbwalu,7/8/2026,315
Nyankunde,7/8/2026,97
Nizi,7/8/2026,104
Lita,7/8/2026,41
Komanda,7/8/2026,23
Bambu,7/8/2026,29
Kilo,7/8/2026,9
Mangala,7/8/2026,43
Tchomia,7/8/2026,15
Damas,7/8/2026,5
Aungba,7/8/2026,6
Rimba,7/8/2026,4
Aru,7/8/2026,3
Mambasa,7/8/2026,4
Logo,7/8/2026,7
Drodro,7/8/2026,3
Gety,7/8/2026,1
Kambala,7/8/2026,2
Nia-Nia,7/8/2026,35
Fataki,7/8/2026,4
Mandima,7/8/2026,5
Lolwa,7/8/2026,1
Boga,7/8/2026,1
Butembo,7/8/2026,42
Katwa,7/8/2026,61
Beni,7/8/2026,29
Oicha,7/8/2026,3
Kalunguta,7/8/2026,2
Kyondo,7/8/2026,4
Goma,7/8/2026,1
Masereka,7/8/2026,3
Vuhovi,7/8/2026,1
Mabalako,7/8/2026,1
Musienene,7/8/2026,8
Miti-Murhesa,7/8/2026,3
Unknown,7/8/2026,17
Bunia,7/9/2026,495
Rwampara,7/9/2026,373
Mongbwalu,7/9/2026,327
Nyankunde,7/9/2026,97
Nizi,7/9/2026,107
Lita,7/9/2026,42
Komanda,7/9/2026,25
Bambu,7/9/2026,29
Kilo,7/9/2026,9
Mangala,7/9/2026,43
Tchomia,7/9/2026,17
Damas,7/9/2026,5
Aungba,7/9/2026,6
Rimba,7/9/2026,4
Aru,7/9/2026,3
Mambasa,7/9/2026,5
Logo,7/9/2026,7
Drodro,7/9/2026,3
Gety,7/9/2026,1
Kambala,7/9/2026,2
Nia-Nia,7/9/2026,35
Fataki,7/9/2026,4
Mandima,7/9/2026,5
Lolwa,7/9/2026,1
Boga,7/9/2026,1
Butembo,7/9/2026,43
Katwa,7/9/2026,66
Beni,7/9/2026,30
Oicha,7/9/2026,3
Kalunguta,7/9/2026,2
Kyondo,7/9/2026,5
Goma,7/9/2026,1
Masereka,7/9/2026,3
Vuhovi,7/9/2026,1
Mabalako,7/9/2026,1
Musienene,7/9/2026,9
Miti-Murhesa,7/9/2026,3
Unknown,7/9/2026,17
Bunia,7/10/2026,503
Rwampara,7/10/2026,384
Mongbwalu,7/10/2026,329
Nyankunde,7/10/2026,97
Nizi,7/10/2026,110
Lita,7/10/2026,45
Komanda,7/10/2026,25
Bambu,7/10/2026,31
Kilo,7/10/2026,9
Mangala,7/10/2026,50
Tchomia,7/10/2026,19
Damas,7/10/2026,5
Aungba,7/10/2026,6
Rimba,7/10/2026,4
Aru,7/10/2026,3
Mambasa,7/10/2026,5
Logo,7/10/2026,7
Drodro,7/10/2026,4
Gety,7/10/2026,1
Kambala,7/10/2026,2
Nia-Nia,7/10/2026,35
Fataki,7/10/2026,4
Mandima,7/10/2026,8
Lolwa,7/10/2026,1
Boga,7/10/2026,1
Butembo,7/10/2026,43
Katwa,7/10/2026,67
Beni,7/10/2026,30
Oicha,7/10/2026,3
Kalunguta,7/10/2026,2
Kyondo,7/10/2026,5
Goma,7/10/2026,1
Masereka,7/10/2026,3
Vuhovi,7/10/2026,1
Mabalako,7/10/2026,1
Musienene,7/10/2026,9
Miti-Murhesa,7/10/2026,3
Wamba,7/10/2026,1
Makiso-Kisangani,7/10/2026,2
Mangobo,7/10/2026,1
Lubunga (Tshopo),7/10/2026,1
Unknown,7/10/2026,17
Bunia,7/11/2026,507
Rwampara,7/11/2026,393
Mongbwalu,7/11/2026,336
Nyankunde,7/11/2026,99
Nizi,7/11/2026,121
Lita,7/11/2026,48
Komanda,7/11/2026,27
Bambu,7/11/2026,31
Kilo,7/11/2026,9
Mangala,7/11/2026,50
Tchomia,7/11/2026,19
Damas,7/11/2026,5
Aungba,7/11/2026,6
Rumba,7/11/2026,4
Aru,7/11/2026,3
Mambasa,7/11/2026,5
Logo,7/11/2026,7
Drodro,7/11/2026,4
Gety,7/11/2026,1
Kambala,7/11/2026,2
Nia-Nia,7/11/2026,36
Fataki,7/11/2026,4
Mandima,7/11/2026,8
Lolwa,7/11/2026,1
Boga,7/11/2026,1
Ariwara,7/11/2026,1
Butembo,7/11/2026,44
Katwa,7/11/2026,71
Beni,7/11/2026,30
Oicha,7/11/2026,3
Kalunguta,7/11/2026,2
Kyondo,7/11/2026,7
Goma,7/11/2026,1
Masereka,7/11/2026,3
Vuhovi,7/11/2026,1
Mabalako,7/11/2026,1
Musienene,7/11/2026,10
Miti-Murhesa,7/11/2026,3
Wamba,7/11/2026,1
Makiso-Kisangani,7/11/2026,2
Mangobo,7/11/2026,1
Lubunga (Tshopo),7/11/2026,1
Unknown,7/11/2026,17
Bunia,7/13/2026,534
Rwampara,7/13/2026,405
Mongbwalu,7/13/2026,336
Nizi,7/13/2026,131
Nyankunde,7/13/2026,99
Mangala,7/13/2026,50
Lita,7/13/2026,59
Nia-Nia,7/13/2026,36
Bambu,7/13/2026,31
Komanda,7/13/2026,27
Tchomia,7/13/2026,19
Kilo,7/13/2026,9
Mandima,7/13/2026,8
Logo,7/13/2026,7
Aungba,7/13/2026,6
Damas,7/13/2026,5
Mambasa,7/13/2026,5
Rimba,7/13/2026,4
Fataki,7/13/2026,5
Drodro,7/13/2026,5
Aru,7/13/2026,3
Kambala,7/13/2026,2
Gety,7/13/2026,1
Lolwa,7/13/2026,2
Boga,7/13/2026,1
Ariwara,7/13/2026,1
Katwa,7/13/2026,76
Butembo,7/13/2026,46
Beni,7/13/2026,31
Musienene,7/13/2026,11
Kyondo,7/13/2026,7
Kalunguta,7/13/2026,2
Masereka,7/13/2026,3
Oicha,7/13/2026,3
Goma,7/13/2026,1
Vuhovi,7/13/2026,1
Mabalako,7/13/2026,1
Miti-Murhesa,7/13/2026,3
Wamba,7/13/2026,8
Pawa,7/13/2026,3
Boma Mangbetu,7/13/2026,2
Isiro,7/13/2026,1
Makiso-Kisangani,7/13/2026,2
Mangobo,7/13/2026,1
Lubunga (Tshopo),7/13/2026,1
Unknown,7/13/2026,17
Bunia,7/15/2026,570
Rwampara,7/15/2026,418
Mongbwalu,7/15/2026,347
Nizi,7/15/2026,148
Nyankunde,7/15/2026,99
Mangala,7/15/2026,50
Lita,7/15/2026,66
Nia-Nia,7/15/2026,42
Bambu,7/15/2026,31
Komanda,7/15/2026,27
Tchomia,7/15/2026,19
Kilo,7/15/2026,10
Mandima,7/15/2026,9
Logo,7/15/2026,7
Aungba,7/15/2026,6
Damas,7/15/2026,7
Mambasa,7/15/2026,5
Rimba,7/15/2026,4
Fataki,7/15/2026,6
Drodro,7/15/2026,5
Aru,7/15/2026,3
Kambala,7/15/2026,2
Gety,7/15/2026,1
Lolwa,7/15/2026,2
Boga,7/15/2026,1
Ariwara,7/15/2026,1
Mahagi,7/15/2026,1
Katwa,7/15/2026,82
Butembo,7/15/2026,52
Beni,7/15/2026,33
Musienene,7/15/2026,14
Kyondo,7/15/2026,7
Kalunguta,7/15/2026,2
Masereka,7/15/2026,3
Oicha,7/15/2026,3
Goma,7/15/2026,1
Vuhovi,7/15/2026,1
Mabalako,7/15/2026,1
Miti-Murhesa,7/15/2026,3
Wamba,7/15/2026,8
Pawa,7/15/2026,3
Boma Mangbetu,7/15/2026,2
Isiro,7/15/2026,1
Makiso-Kisangani,7/15/2026,2
Mangobo,7/15/2026,1
Lubunga (Tshopo),7/15/2026,1
Unknown,7/15/2026,17
Bunia,7/17/2026,606
Rwampara,7/17/2026,430
Mongbwalu,7/17/2026,355
Nizi,7/17/2026,168
Nyankunde,7/17/2026,99
Mangala,7/17/2026,56
Lita,7/17/2026,77
Nia-Nia,7/17/2026,47
Bambu,7/17/2026,36
Komanda,7/17/2026,27
Tchomia,7/17/2026,21
Kilo,7/17/2026,11
Mandima,7/17/2026,9
Logo,7/17/2026,7
Aungba,7/17/2026,6
Damas,7/17/2026,7
Mambasa,7/17/2026,8
Rimba,7/17/2026,5
Fataki,7/17/2026,9
Drodro,7/17/2026,5
Aru,7/17/2026,4
Kambala,7/17/2026,2
Gety,7/17/2026,1
Lolwa,7/17/2026,2
Boga,7/17/2026,1
Ariwara,7/17/2026,6
Mahagi,7/17/2026,1
Katwa,7/17/2026,92
Butembo,7/17/2026,55
Beni,7/17/2026,34
Musienene,7/17/2026,14
Kyondo,7/17/2026,8
Kalunguta,7/17/2026,2
Masereka,7/17/2026,3
Oicha,7/17/2026,3
Goma,7/17/2026,1
Vuhovi,7/17/2026,1
Mabalako,7/17/2026,1
Miti-Murhesa,7/17/2026,3
Wamba,7/17/2026,16
Pawa,7/17/2026,3
Boma Mangbetu,7/17/2026,2
Isiro,7/17/2026,1
Makiso-Kisangani,7/17/2026,2
Mangobo,7/17/2026,1
Lubunga (Tshopo),7/17/2026,1
Unknown,7/17/2026,17
Bunia,7/18/2026,621
Rwampara,7/18/2026,440
Mongbwalu,7/18/2026,360
Nizi,7/18/2026,198
Nyankunde,7/18/2026,99
Lita,7/18/2026,77
Mangala,7/18/2026,58
Nia-Nia,7/18/2026,49
Bambu,7/18/2026,36
Komanda,7/18/2026,27
Tchomia,7/18/2026,22
Fataki,7/18/2026,11
Kilo,7/18/2026,11
Mandima,7/18/2026,9
Mambasa,7/18/2026,8
Damas,7/18/2026,7
Logo,7/18/2026,7
Ariwara,7/18/2026,6
Aungba,7/18/2026,6
Drodro,7/18/2026,5
Rimba,7/18/2026,5
Aru,7/18/2026,4
Kambala,7/18/2026,2
Lolwa,7/18/2026,2
Boga,7/18/2026,1
Gety,7/18/2026,1
Mahagi,7/18/2026,1
Katwa,7/18/2026,98
Butembo,7/18/2026,57
Beni,7/18/2026,37
Musienene,7/18/2026,18
Kyondo,7/18/2026,9
Kalunguta,7/18/2026,2
Masereka,7/18/2026,3
Oicha,7/18/2026,3
Goma,7/18/2026,1
Vuhovi,7/18/2026,1
Mabalako,7/18/2026,1
Miti-Murhesa,7/18/2026,3
Wamba,7/18/2026,6
Pawa,7/18/2026,3
Boma Mangbetu,7/18/2026,4
Isiro,7/18/2026,3
Makiso-Kisangani,7/18/2026,3
Mangobo,7/18/2026,1
Lubunga (Tshopo),7/18/2026,1
Unknown,7/18/2026,17
Bunia,7/19/2026,639
Rwampara,7/19/2026,450
Mongbwalu,7/19/2026,363
Nizi,7/19/2026,214
Nyankunde,7/19/2026,99
Lita,7/19/2026,78
Mangala,7/19/2026,61
Nia-Nia,7/19/2026,51
Bambu,7/19/2026,40
Komanda,7/19/2026,27
Tchomia,7/19/2026,23
Fataki,7/19/2026,11
Kilo,7/19/2026,11
Adja,7/19/2026,10
Mandima,7/19/2026,9
Mambasa,7/19/2026,8
Logo,7/19/2026,8
Ariwara,7/19/2026,7
Damas,7/19/2026,7
Aungba,7/19/2026,6
Drodro,7/19/2026,5
Rimba,7/19/2026,5
Aru,7/19/2026,4
Kambala,7/19/2026,2
Lolwa,7/19/2026,2
Boga,7/19/2026,1
Gety,7/19/2026,1
Mahagi,7/19/2026,1
Katwa,7/19/2026,104
Butembo,7/19/2026,58
Beni,7/19/2026,37
Musienene,7/19/2026,19
Kyondo,7/19/2026,9
Kalunguta,7/19/2026,2
Masereka,7/19/2026,3
Oicha,7/19/2026,4
Goma,7/19/2026,1
Vuhovi,7/19/2026,1
Mabalako,7/19/2026,1
Miti-Murhesa,7/19/2026,3
Wamba,7/19/2026,6
Pawa,7/19/2026,3
Boma Mangbetu,7/19/2026,4
Isiro,7/19/2026,3
Makiso-Kisangani,7/19/2026,3
Mangobo,7/19/2026,1
Lubunga,7/19/2026,1
Unknown,7/19/2026,17
Bunia,7/20/2026,657
Rwampara,7/20/2026,457
Mongbwalu,7/20/2026,364
Nizi,7/20/2026,223
Nyankunde,7/20/2026,99
Lita,7/20/2026,78
Mangala,7/20/2026,61
Nia-Nia,7/20/2026,54
Bambu,7/20/2026,40
Komanda,7/20/2026,27
Tchomia,7/20/2026,23
Fataki,7/20/2026,11
Kilo,7/20/2026,11
Adja,7/20/2026,10
Mandima,7/20/2026,10
Mambasa,7/20/2026,8
Logo,7/20/2026,8
Ariwara,7/20/2026,10
Damas,7/20/2026,7
Aungba,7/20/2026,6
Drodro,7/20/2026,5
Rimba,7/20/2026,5
Aru,7/20/2026,4
Kambala,7/20/2026,2
Lolwa,7/20/2026,2
Boga,7/20/2026,1
Gety,7/20/2026,1
Mahagi,7/20/2026,1
Katwa,7/20/2026,108
Butembo,7/20/2026,61
Beni,7/20/2026,37
Musienene,7/20/2026,19
Kyondo,7/20/2026,10
Oicha,7/20/2026,4
Kalunguta,7/20/2026,2
Masereka,7/20/2026,3
Goma,7/20/2026,1
Vuhovi,7/20/2026,1
Mabalako,7/20/2026,1
Miti-Murhesa,7/20/2026,3
Wamba,7/20/2026,6
Pawa,7/20/2026,3
Boma Mangbetu,7/20/2026,4
Isiro,7/20/2026,3
Makiso-Kisangani,7/20/2026,3
Mangobo,7/20/2026,1
Lubunga,7/20/2026,1
Unknown,7/20/2026,17
Adja,7/22/2026,10
Aru,7/22/2026,5
Ariwara,7/22/2026,7
Aungba,7/22/2026,4
Bambu,7/22/2026,51
Boga,7/22/2026,1
Bunia,7/22/2026,696
Damas,7/22/2026,13
Drodro,7/22/2026,6
Fataki,7/22/2026,17
Gety,7/22/2026,1
Kambala,7/22/2026,2
Kilo,7/22/2026,23
Komanda,7/22/2026,30
Lita,7/22/2026,101
Logo,7/22/2026,8
Lolwa,7/22/2026,4
Mahagi,7/22/2026,1
Mambasa,7/22/2026,7
Mandima,7/22/2026,13
Mangala,7/22/2026,86
Mongbwalu,7/22/2026,482
Nia-Nia,7/22/2026,78
Nizi,7/22/2026,308
Nyankunde,7/22/2026,114
Rimba,7/22/2026,7
Rwampara,7/22/2026,481
Tchomia,7/22/2026,39
Beni,7/22/2026,41
Butembo,7/22/2026,62
Goma,7/22/2026,1
Kalunguta,7/22/2026,4
Katwa,7/22/2026,121
Kyondo,7/22/2026,10
Mabalako,7/22/2026,1
Masereka,7/22/2026,4
Musienene,7/22/2026,26
Oicha,7/22/2026,4
Vuhovi,7/22/2026,1
Miti-Murhesa,7/22/2026,3
Boma Mangbetu,7/22/2026,6
Isiro,7/22/2026,8
Pawa,7/22/2026,7
Wamba,7/22/2026,6
Lubunga,7/22/2026,1
Makiso-Kisangani,7/22/2026,3
Mangobo,7/22/2026,1
Adja,7/23/2026,10
Aru,7/23/2026,5
Ariwara,7/23/2026,7
Aungba,7/23/2026,4
Bambu,7/23/2026,51
Boga,7/23/2026,1
Bunia,7/23/2026,713
Damas,7/23/2026,14
Drodro,7/23/2026,6
Fataki,7/23/2026,17
Gety,7/23/2026,1
Kambala,7/23/2026,2
Kilo,7/23/2026,23
Komanda,7/23/2026,33
Lita,7/23/2026,103
Logo,7/23/2026,9
Lolwa,7/23/2026,4
Mahagi,7/23/2026,1
Mambasa,7/23/2026,7
Mandima,7/23/2026,13
Mangala,7/23/2026,92
Mongbwalu,7/23/2026,484
Nia-Nia,7/23/2026,78
Nizi,7/23/2026,316
Nyankunde,7/23/2026,114
Rimba,7/23/2026,7
Rwampara,7/23/2026,490
Tchomia,7/23/2026,40
Beni,7/23/2026,42
Butembo,7/23/2026,63
Goma,7/23/2026,1
Kalunguta,7/23/2026,4
Katwa,7/23/2026,133
Kyondo,7/23/2026,10
Mabalako,7/23/2026,1
Masereka,7/23/2026,4
Musienene,7/23/2026,27
Oicha,7/23/2026,4
Vuhovi,7/23/2026,1
Miti-Murhesa,7/23/2026,3
Boma Mangbetu,7/23/2026,6
Isiro,7/23/2026,8
Pawa,7/23/2026,7
Rungu,7/23/2026,1
Wamba,7/23/2026,7
Lubunga,7/23/2026,1
Makiso-Kisangani,7/23/2026,3
Mangobo,7/23/2026,1
Adja,7/25/2026,11
Aru,7/25/2026,5
Ariwara,7/25/2026,7
Aungba,7/25/2026,4
Bambu,7/25/2026,54
Boga,7/25/2026,1
Bunia,7/25/2026,762
Damas,7/25/2026,16
Drodro,7/25/2026,6
Fataki,7/25/2026,17
Gety,7/25/2026,1
Kambala,7/25/2026,2
Kilo,7/25/2026,23
Komanda,7/25/2026,35
Lita,7/25/2026,117
Logo,7/25/2026,9
Lolwa,7/25/2026,4
Mahagi,7/25/2026,3
Mambasa,7/25/2026,9
Mandima,7/25/2026,13
Mangala,7/25/2026,100
Mongbwalu,7/25/2026,498
Nia-Nia,7/25/2026,89
Nizi,7/25/2026,350
Nyankunde,7/25/2026,114
Rimba,7/25/2026,8
Rwampara,7/25/2026,550
Tchomia,7/25/2026,40
Beni,7/25/2026,43
Butembo,7/25/2026,70
Goma,7/25/2026,1
Kalunguta,7/25/2026,4
Katwa,7/25/2026,138
Kyondo,7/25/2026,11
Mabalako,7/25/2026,1
Masereka,7/25/2026,4
Musienene,7/25/2026,29
Oicha,7/25/2026,4
Vuhovi,7/25/2026,1
Miti-Murhesa,7/25/2026,3
Boma Mangbetu,7/25/2026,7
Isiro,7/25/2026,12
Pawa,7/25/2026,7
Rungu,7/25/2026,1
Wamba,7/25/2026,11
Lubunga,7/25/2026,1
Makiso-Kisangani,7/25/2026,3
Mangobo,7/25/2026,1
Adja,7/26/2026,11
Aru,7/26/2026,5
Ariwara,7/26/2026,7
Aungba,7/26/2026,5
Bambu,7/26/2026,57
Boga,7/26/2026,1
Bunia,7/26/2026,773
Damas,7/26/2026,16
Drodro,7/26/2026,10
Fataki,7/26/2026,17
Gety,7/26/2026,1
Kambala,7/26/2026,2
Kilo,7/26/2026,23
Komanda,7/26/2026,35
Lita,7/26/2026,117
Logo,7/26/2026,9
Lolwa,7/26/2026,4
Mahagi,7/26/2026,3
Mambasa,7/26/2026,9
Mandima,7/26/2026,13
Mangala,7/26/2026,100
Mongbwalu,7/26/2026,506
Nia-Nia,7/26/2026,90
Nizi,7/26/2026,357
Nyankunde,7/26/2026,114
Rimba,7/26/2026,8
Rwampara,7/26/2026,568
Tchomia,7/26/2026,40
Beni,7/26/2026,44
Butembo,7/26/2026,73
Goma,7/26/2026,1
Kalunguta,7/26/2026,5
Katwa,7/26/2026,140
Kyondo,7/26/2026,12
Mabalako,7/26/2026,1
Masereka,7/26/2026,4
Musienene,7/26/2026,29
Oicha,7/26/2026,4
Vuhovi,7/26/2026,1
Miti-Murhesa,7/26/2026,3
Boma Mangbetu,7/26/2026,7
Isiro,7/26/2026,12
Pawa,7/26/2026,8
Rungu,7/26/2026,1
Wamba,7/26/2026,11
Lubunga,7/26/2026,1
Makiso-Kisangani,7/26/2026,3
Mangobo,7/26/2026,1
Adja,7/27/2026,11
Aru,7/27/2026,5
Ariwara,7/27/2026,7
Aungba,7/27/2026,5
Bambu,7/27/2026,57
Boga,7/27/2026,1
Bunia,7/27/2026,801
Damas,7/27/2026,16
Drodro,7/27/2026,10
Fataki,7/27/2026,17
Gety,7/27/2026,1
